"lang"
{
	"Language"	"Russian"
	"Tokens"
{

//=================================================================================================================
// Overthrow|Default|Main
//=================================================================================================================
			
"addon_game_name"	"Биржа Мемов"
"DOTA_GameMode_15"	"Биржа Мемов"
"DOTA_Tooltip_ability_item_bag_of_gold"	"Биткоин"
"DOTA_Tooltip_ability_item_bag_of_gold_Description"	"Дает 150 золота"
"DOTA_Tooltip_ability_item_treasure_chest"	"Сундук с предметом"
"DOTA_Tooltip_ability_item_treasure_chest_Description"	"Дает случайный предмет, зависящий от вашего положения в таблице лидерства"
"DOTA_Tooltip_ability_item_treasure_chest_winter"	"Новогодний подарок"
"DOTA_Tooltip_ability_item_treasure_chest_winter_Description"	"Дает случайный предмет, зависящий от вашего положения в таблице лидерства"
"PointsToWin"	"Еще {d:points_to_win}"
"PointsToWin_CloseToVictory"	"Еще {d:points_to_win}"
"PointsToWin_VeryCloseToVictory"	"Еще {d:points_to_win}!"
"PointsToWin_Victory"	"Победа"
"Chest"	"ПРЕДМЕТ"
"ItemWillSpawn"	"<b>Центральный сундук</b><br><br>В центр скоро упадет сундук со случайным предметом"
"ItemHasSpawned"	"<b>Центральный сундук</b><br><br>Сундук уже приземлился в центр круга, забирайте быстрее"
"OverthrowTextPickup"	"забрал центральный сундук и получил"
"Remaining"	"ОСТАЛОСЬ"
"KillMessageText"	"убивает лидера и получает бонус "
"KillMessageText_gold"	" золота и "
"KillMessageText_exp"	" опыта"
"KillMessageBounty"	"И ПОЛУЧАЕТ БОНУС"
"DOTA_Basics"	"BIRZHA ITEMS"
"DOTA_Upgrades"	"DOTA ITEMS"
"DOTA_Shop_Category_Basics"				"BIRZHA ITEMS"
"DOTA_Shop_Category_Upgrades"			"DOTA ITEMS"
"bp_level_max_end"						"Вы достигли максимального уровня героя<br>Для следующего уровня вам нужно приобрести подписку BIRZHA PLUS"

"DOTA_Tooltip_modifier_birzha_stunned"							"Оглушение"
"DOTA_Tooltip_modifier_birzha_stunned_purge"					"Оглушение"
"DOTA_Tooltip_modifier_knockback"								"Оглушение"
"DOTA_Tooltip_modifier_birzha_silenced"							"Безмолвие"
"DOTA_Tooltip_modifier_birzha_bashed"							"Оглушение"
"Dota_Tooltip_modifier_birzha_invul"							"Неуязвим"

"tip_player"				                                    "Похвалить"
"birzha_double_rating"		                                    " Рискнул и удвоил свой рейтинг"

"birzha_random_hero"		" Выбрал случайного героя "
"tipped_0"					"Повезло"
"tipped_1"					"Крутой"
"tipped_2"					"Найс играешь, долбоеб"
"tipped_3"					"Красавчик"
"tipped_4"					"Завали ебало"
"tipped_5"					"Соляра"
"tipped_6"					"Ливни с игры плиз"
"tipped_7"					"Продолжай ебать!"
"tipped_8"					"Какой же ты худший"
"tipped_9"					"Чел, хорош"
"tipped_10"					"Лучший брат"
"tipped_11"					"Ультракринжанул"
"tipped_12"					"Как там в таверне?"
"tipped_13"					"Спасибо за игру!"
"tipped_14"					"Не играй пожалуйста"
"tipped_15"					"Хааа ну ты и чудище"
"tipped_16"					"Долго ещё сосать будешь?"

"DOTA_SUBSHOP_CONSUMABLES"			"Расходники"
"DOTA_SUBSHOP_ATTRIBUTES"			"Передвижение"
"DOTA_SUBSHOP_WEAPONS_ARMOR"		"Маг. Атака"
"DOTA_SUBSHOP_MISC"					"Физ. Атака"
"DOTA_SUBSHOP_SECRETSHOP"			"Защита"

"ServerNoConnection"                "<b>Нет подключения к серверам Биржи мемов</b><br><br>Данная игра не будет засчитана"
"LowHumansInLobby"                  "<b>Меньше 6 игроков в лобби</b><br><br>Данная игра не будет засчитана"

"birzha_win_predict"				" Предсказывает победу ! Предсказаний подряд:"
"birzha_win_predict_1"				"Предсказаний подряд"
"birzha_win_predict_2"				"Предсказать победу"

"dota_hud_error_contract_health_percentage"	"У цели меньше 50% здоровья"

"birzha_ban_player"					"Вы получили блокировку за нечестную игру с человеком, который находится в одной игре с вами. Смените режим на другой или обратись к администрации. Срок блокировки с другим игроком "


"contracttargets" 			"Цели контрактов"
"bm_smile_cooldown"			"Смайлик можно использовать через: "
"wheel_reward_panel_label1"		"Вам выпало"
"lottery_reward_panel_label3"		"Забрать"
"repick_hero_panel_label"			"Зарандомить еще раз"

"Refresh_Msg"								"Герой обновлён"
"LevelUp_Msg"								"Уровень увеличен"
"MaxLevel_Msg"								"Максимальный уровень"
"FreeSpellsOn_Msg"							"Бесконечная мана: вкл."
"FreeSpellsOff_Msg"							"Бесконечная мана: выкл."
"InvulnerabilityOn_Msg"						"Неуязвимость: вкл."
"InvulnerabilityOff_Msg"					"Неуязвимость: выкл."
"SpawnAlly_Msg"								"Союзник создан"
"MaxAllies_Msg"								"Невозможно добавить больше союзников"
"SpawnEnemy_Msg"							"Враг создан"		
"MaxEnemies_Msg"							"Невозможно добавить больше врагов"
"LevelUpEnemy_Msg"							"Уровень врагов увеличен"
"MaxLevelEnemy_Msg"							"Враг получил максимальный уровень"
"SpawnDummyTarget_Msg"						"Мишень добавлена"
"RemoveSpawnedUnits_Msg"					"Все юниты убраны"
"LaneCreepsOn_Msg"							"Крипы на линии: вкл."
"LaneCreepsOff_Msg"							"Крипы на линии: выкл."		

"DemoOptions_MinimizeButton"				"Настройки"
"DemoOptions_UnMinimizeButton"				""
"HeroDemo_ButtonCategory"					"Проба героя"
"Hero_ButtonCategory"						"Герой"
"Spawn_ButtonCategory"						"Добавить"
"Misc_ButtonCategory"						"Сменить"
"Global_ButtonCategory"						"Общие настройки"
"Map_ButtonCategory"						"Карта"

"SpawnCreeps_Button"						"Волны крипов"
"SpawnCreepsOn_Msg"							"Волны крипов: вкл."
"SpawnCreepsOff_Msg"						"Волны крипов: выкл."
"SpawnSingleCreepWave_Button"				"+"
"SpawnSingleCreepWave_Tooltip"				"Создать волну крипов"

"TowersEnabled_Button"						"Башни"
"TowersEnabledOn_Msg"						"Башни: вкл."
"TowersEnabledOff_Msg"						"Башни: выкл."

"Refresh_Button"							"Обновить"
"LevelUp_Button"							"+1 уровень"
"MaxLevel_Button"							"Макс. уровень"
"UltraMaxLevel_Button"						"+"
"UltraMaxLevel_Tooltip"						"Выдать 30 уровней и оба предмета Аганима"
"FreeSpells_Button"							"Беск. мана"
"CombatLog_Button"							"Журнал сражения"
"Invulnerability_Button"					"Неуязвимость"
"Reset_Button"								"Сбросить"
"InvulnOn_Button"							"Неуязвим. вкл."
"InvulnOff_Button"							"Неуязвим. выкл."

"Enemy_Button"								"Врага"
"SelectHero_Button"							"Выбрать врага"
"LevelUpEnemy_Button"						"+1 к уровню врага"
"MaxLevelEnemy_Button"						"30 уровней врагам"

"Ally_Button"								"Союзника"
"SelectAllyHero_Button"						"Выбрать союзника"
"LevelUpAlly_Button"						"+1 к уровню союзников"
"MaxLevelAlly_Button"						"30 уровней союзникам"

"DummyTarget_Button"						"Неподвижную цель"
"RemoveSpawns_Button"						"Удалить"
"SelectCosmetics_Button"					"Изм. снаряжение"
"ChangeHero_Button"							"Изм. героя"
"PauseDemo_Button"							"Пауза"
"QuitDemo_Button"							"Выйти"

"Runes_ButtonCategory"						"РУНЫ"
"RuneSpawn_DoubleDamage_Button"				"Двойной урон"
"RuneSpawn_Haste_Button"					"Ускорение"
"RuneSpawn_Illusion_Button"					"Иллюзии"
"RuneSpawn_Invisibility_Button"				"Невидимость"
"RuneSpawn_Regeneration_Button"				"Регенерация"
"RuneSpawn_Arcane_Button"					"Волшебство"

"NewSpawn_ButtonCategory"					"СУЩЕСТВА"
"SpawnUnits_ButtonCategory"					"СОЗДАТЬ"
"EditUnits_ButtonCategory"					"ИЗМЕНИТЬ ВЫДЕЛЕННЫХ"

"LevelUpSelectedHeroes_Button"				"+1 УР."
"MaxLevelUpSelectedHeroes_Button"			"+МАКС УР."
"ScepterSelectedHeroes_Button"				"SCEPTER"
"ShardSelectedHeroes_Button"				"SHARD"

"Demo_Chest"								"Центральный сундук"

"ChooseHero_Button"							"Создание героя"
"SpawnEnemyHero_Button"						"ВРАГ"
"SpawnAllyHero_Button"						"СОЮЗНИК"

"demo_team_1"								"Команда 1"
"demo_team_2"								"Команда 2"
"demo_team_3"								"Команда 3"
"demo_team_4"								"Команда 4"
"demo_team_5"								"Команда 5"
"demo_team_6"								"Команда 6"
"demo_team_7"								"Команда 7"
"deno_team_8"								"Команда 8"
"demo_team_9"								"Команда 9"
"deno_team_10"								"Команда 10"

"CombatLog_Button"							"Combat Log"
"AutoSkill_Button"							"Автоприменение"
"Reset_Button"								"Reset"
"NewHero_Button"							"Новый герой"

"SpawnDummyTargeT_Tooltip"					"Создать неподвижную цель"
"Invulnerable_Tooltip"						"Сделать выбранных героев неуязвимыми"
